creditability,account_balance,duration_of_credit_monthly,payment_status_of_previous_credit,purpose,credit_amount,value_savings_stocks,length_of_current_employment,instalment_per_cent,sex_marital_status,guarantors,duration_in_current_address,most_valuable_available_asset,age_years,concurrent_credits,type_of_apartment,no_of_credits_at_this_bank,occupation,no_of_dependents,telephone,credit_amount_per_month
1,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,1,1,58.27777777777778
1,1,9,4,0,2799,1,3,2,3,1,2,1,36,3,1,2,3,2,1,311.0
1,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,1,1,70.08333333333333
1,1,12,4,0,2122,1,3,3,3,1,2,1,39,3,1,2,2,2,1,176.83333333333334
1,1,12,4,0,2171,1,3,4,3,1,4,2,38,1,2,2,2,1,1,180.91666666666666
1,1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,2,1,224.1
1,1,8,4,0,3398,1,4,1,3,1,4,1,39,3,2,2,2,1,1,424.75
1,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,2,1,226.83333333333334
1,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,99,1,1,61.0
1,2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,99,1,1,156.58333333333334
1,1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,2,1,355.0
1,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,206.23333333333332
1,1,6,4,3,1957,1,4,1,2,1,4,3,31,3,2,1,3,1,1,326.1666666666667
1,2,48,3,99,7582,2,1,2,3,1,4,4,31,3,2,1,4,1,2,157.95833333333334
1,1,18,2,3,1936,5,4,2,4,1,4,3,23,3,1,2,2,1,1,107.55555555555556
1,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,441.1666666666667
1,1,11,4,0,3939,1,3,1,3,1,2,1,40,3,2,2,2,2,1,358.09090909090907
1,2,18,2,3,3213,3,2,1,4,1,3,1,25,3,1,1,3,1,1,178.5
1,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,1,64.91666666666667
1,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,1,1,657.0909090909091
1,1,6,4,0,3676,1,3,1,3,1,3,1,37,3,1,3,3,2,1,612.6666666666666
1,2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,2,1,260.3333333333333
0,2,36,2,99,2384,1,2,4,3,1,1,4,33,3,1,1,2,1,1,66.22222222222223
1,2,12,4,99,1424,1,4,4,3,1,3,2,26,3,2,1,3,1,1,118.66666666666667
1,1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,2,1,786.0
1,2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,1,1,433.72727272727275
1,1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,1,1,54.333333333333336
1,2,9,4,3,1154,1,5,2,3,1,4,1,37,3,2,3,2,1,1,128.22222222222223
1,4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,1,1,237.06666666666666
